Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2020-08-31,WIPRO,EQ,272.05,274.0,282.0,268.0,268.85,271.3,276.04,20571550,567855928185000.0,136133,7156738,0.3479
2020-09-01,WIPRO,EQ,271.3,271.0,279.4,269.0,272.15,271.6,274.28,12293054,337173195295000.0,66887,3083163,0.25079999999999997
2020-09-02,WIPRO,EQ,271.6,272.9,276.5,271.2,274.2,273.7,273.57,8432055,230671570760000.0,41460,3286597,0.3898
2020-09-03,WIPRO,EQ,273.7,275.5,287.85,274.5,283.4,282.85,282.52,24895166,703343911815000.0,141438,4935899,0.19829999999999998
2020-09-04,WIPRO,EQ,282.85,278.7,279.5,275.1,276.7,276.0,277.09,10707714,296700854640000.0,74821,2859386,0.267
2020-09-07,WIPRO,EQ,276.0,276.5,279.5,271.5,278.7,278.75,275.84,8326285,229669755100000.0,57352,1583636,0.1902
2020-09-08,WIPRO,EQ,278.75,282.2,286.95,278.5,282.25,282.55,284.0,22294866,633183239110000.0,158606,2877613,0.1291
2020-09-09,WIPRO,EQ,282.55,279.8,289.45,278.5,283.65,282.85,284.29,22794437,648028850700000.0,127922,4094926,0.1796
2020-09-10,WIPRO,EQ,282.85,286.65,286.85,281.1,285.05,284.55,283.85,9517932,270167175225000.0,86780,2711481,0.2849
2020-09-11,WIPRO,EQ,284.55,282.5,298.45,282.5,292.55,293.3,293.81,41937351,1232177844525000.0,262985,5261249,0.1255
2020-09-14,WIPRO,EQ,293.3,293.25,308.55,293.15,306.1,307.2,302.29,38090115,1151419742340000.0,267168,6867003,0.18030000000000002
2020-09-15,WIPRO,EQ,307.2,307.2,311.25,302.75,306.6,307.35,307.58,28156339,866035776465000.0,180867,4335265,0.154
2020-09-16,WIPRO,EQ,307.35,307.0,313.5,304.05,312.5,312.15,308.55,14994220,462647351030000.0,113140,3345405,0.2231
2020-09-17,WIPRO,EQ,312.15,307.25,316.7,307.2,310.9,311.7,313.43,26811653,840369296375000.0,194513,5737510,0.214
2020-09-18,WIPRO,EQ,311.7,314.0,319.0,312.25,317.25,316.5,316.34,18487980,584846335840000.0,119793,5141610,0.2781
2020-09-21,WIPRO,EQ,316.5,315.9,324.5,309.95,311.05,311.9,318.72,22739047,724741209520000.0,175149,2787002,0.1226
2020-09-22,WIPRO,EQ,311.9,315.4,316.75,303.95,313.0,312.25,311.43,23510335,732187038255000.0,171025,4286458,0.18230000000000002
2020-09-23,WIPRO,EQ,312.25,315.0,321.8,311.15,314.4,314.85,316.62,22139808,700983929400000.0,154893,2889677,0.1305
2020-09-24,WIPRO,EQ,314.85,313.4,313.4,302.45,304.0,304.7,308.07,17920812,552086814305000.0,146194,5088256,0.2839
2020-09-25,WIPRO,EQ,304.7,306.3,315.25,304.2,313.9,313.9,309.64,22007095,681435249655000.0,128587,4431040,0.2013
2020-09-28,WIPRO,EQ,313.9,315.0,317.0,309.6,311.55,311.55,312.82,12460913,389798519940000.0,81707,1571300,0.1261
2020-09-29,WIPRO,EQ,311.55,315.0,318.55,310.5,312.0,311.5,313.83,14830395,465425044685000.06,98969,2212955,0.1492
2020-09-30,WIPRO,EQ,311.5,312.0,315.85,309.6,313.25,313.55,312.99,12393317,387898907115000.0,69964,1964151,0.1585
